# Simulated random data file for batch processing
# timestamp: 2021-04-28 16:24:36
# BMK
# ------------------------------

"Length","SurfArea"
1034.46857856539,1378.2415486144
7933.10550443045,969.82316976822
10588.7064888472,1171.32251895388
13597.1265756215,599.374220842465
1954.77220373959,1013.60549921121
6937.80851246234,575.133826974543
3524.40884420937,2072.27646001886
9302.61842637846,NA
6263.94663819927,2118.69624023465
4698.32630280735,1983.23917066538
8420.66052306468,1938.77643639683
3877.24330403629,729.386171088918
1431.18174308593,1922.37374785313
7820.36006053929,781.212014291771
10345.21467489,2136.19329346503
9484.64444840975,1444.62678037303
10766.9491584467,1094.94633425266
10744.3617411334,2261.88898709141
10305.6362839103,2085.83089643564
3179.75272170072,1185.22451030045
NA,1488.62215165148
7841.81670531515,1699.47227030766
9925.34028861883,660.326207454953
10304.8401195487,2213.85285401181
9290.78311576361,2471.95613172476
7294.27096601334,2649.9072905153
12072.6553718369,1103.29883364684
8661.38603059391,1102.40512565296
4489.88572392423,878.545343576493
6690.01513198401,1401.91143945525
12184.3817296386,1079.44622850116
16394.5348071441,775.20224961447
NA,397.855873198318
14154.6120441949,7.82865438613635
NA,NA
4353.5128459651,2969.56156905089
9588.66287115131,1574.19098795138
11409.2847492791,1737.54678265144
11131.9182905601,2218.27556523587
16859.4712253169,827.12054180208
4907.78200606664,2635.87363934244
8098.51841883599,2229.90578110968
6478.81178385027,-835.270367169706
6851.32028234267,1597.47490790722
6549.80308287109,1234.10409594797
10478.684189715,1584.54488275175
7987.33127867351,1211.04009809148
5951.2037036221,2716.82296514142
9896.35776216963,2098.01683036083
4431.70434006817,-61.0410231790934
7237.85135210918,1781.47052898261
10238.6777299209,755.372264114275
7634.51762186098,NA
10680.3153476192,597.487223496407
3489.49876318289,1499.2917779144
11144.0878979072,1295.06689431152
2329.10495020942,1519.6401312979
8751.88307487807,617.756763656267
9669.27819417502,1953.8523383114
7112.57557957874,136.298076806889
5444.81981581012,1457.58199400789
6865.10905481975,375.772094175605
3551.37188569333,2408.75633650206
10224.1993810217,971.818281727263
11929.9945937226,1242.59915296077
5276.33193967962,1791.34569679627
3524.00339701071,326.994129323475
12642.1365817327,1232.87437565202
6511.64744354759,719.973048495489
7828.93014233055,1840.30184844977
4441.43607112675,1830.73285664079
14239.574983535,1437.5483425985
5034.65798125556,2275.46627100678
10202.7535597633,1842.03716214412
14036.8142228175,866.166545721654
8122.2522305232,1800.59867244318
NA,1660.07720353366
16459.0562187021,966.706054295425
9587.24098596027,1113.42965616004
9498.11475772418,294.066578771886
3471.06064750882,1458.25729542615
5556.32077796622,882.013127102251
1656.46499397095,1828.31222322317
12249.9116951041,1550.67595174324
8961.27404680743,1511.11210019842
12284.26269945,615.493077376753
5830.13701206283,825.402957482363
6537.42966307226,2487.6481904034
9597.98683389578,2916.72643275946
1441.0443985207,2266.14312018407
3704.4350529482,1728.70762505458
7150.22582357757,NA
