# Simulated random data file for batch processing
# timestamp: 2021-04-28 16:24:36
# BMK
# ------------------------------

"Length","SurfArea"
NA,1580.62011201748
2445.2459335007,1828.83919387895
4474.18836850499,1626.49903137039
5016.63526173419,1148.84460374709
7534.91285802813,1092.10512841952
9801.8671362049,3113.53538699805
5779.22336020251,1178.60863667293
3766.58220642615,1128.54498533625
16460.9980367307,1735.23441172286
6028.40327562072,1293.0789926973
14345.929416943,15.1688104220966
NA,1278.53035355215
15142.0594221079,1879.13449363243
8758.22577392448,1921.18036988246
3054.2654271386,1681.79887222533
15830.739316366,21.5636492556428
14228.9327687144,NA
9065.12992158851,224.961340332081
4008.17152446218,1940.24364154202
11352.9219521515,1123.48135860883
4852.87491100625,517.455664714073
7701.68469929821,1792.68610148262
6090.41562074988,1471.04722934322
14543.7437954147,2594.66624699172
9074.61600575827,2067.69822902409
4690.58436603345,1166.88319242049
17116.0825574069,2163.88871485559
8856.90397553575,1720.09619806304
6216.88579094111,1455.79606063454
14481.6677506839,103.237061457603
9178.85590466336,1451.38925912005
8689.48042017602,2711.25127355464
8835.71796478481,1909.52070898083
14688.8995470554,2098.11823684704
3338.30765871387,1323.30789891775
6165.35920866333,2727.23504947598
10932.4186578393,1643.94261343351
9066.92156236969,2842.55939004056
9416.68230640859,1661.74384819018
1786.6465399318,726.933514473312
5934.73973867922,1548.49033924782
8419.18191418011,1128.52238727998
9298.97132721015,1627.32699369002
11454.1663500955,804.659515278356
11493.1774753743,286.577239859865
11027.9198183808,3305.55516077379
NA,NA
2154.50445564052,642.347820015134
10258.2772054387,-554.346456044069
12177.5329608656,2004.71062542273
5660.48034342794,1033.76035957276
6679.86569415783,1635.43503785504
18757.5604838652,1820.6766928132
12335.8875619483,1310.72305827394
3936.33668275388,1435.45461225652
16903.5819781905,1116.16120539252
-761.907003877738,1655.55330561039
7181.28800695378,1674.86500179907
10580.2215000548,763.005614544444
5082.17393530547,949.027127365044
5698.88748632447,581.406650026338
12941.0282592029,1082.4933640969
17279.8789277171,2167.08871611542
11721.6762499517,871.443367061169
11234.8987522949,1114.55100663314
11752.8020748683,NA
14040.801398309,1990.94704910059
6243.67667902871,591.057229431388
5744.91217747091,2159.29824442034
