# Simulated random data file for batch processing
# timestamp: 2021-04-20 14:22:09
# BMK
# ------------------------------

"xVar","yVar"
0.955521605908871,0.152441389858723
0.784141139592975,0.659094616072252
0.0431174042169005,0.895915245870128
0.561325775226578,0.407952403649688
0.0874788919463754,NA
0.192569028120488,0.791950648417696
0.172480440465733,0.218517667846754
0.0139655971433967,0.905480022076517
0.634682280709967,0.578977483557537
0.880107962759212,0.393110005650669
0.672119865659624,0.943112309789285
0.856766591081396,0.597883026115596
0.595461731078103,NA
0.563196434639394,0.735851807054132
0.406787188025191,0.819819907890633
0.377547132316977,0.82016599457711
0.00285359169356525,0.476583440322429
0.943049097666517,0.106069868197665
0.927379143889993,0.9581278860569
0.822470013750717,0.219085486605763
0.81452862592414,0.588697461411357
0.835237879306078,0.505678044632077
0.762049305951223,0.571955251740292
0.242641505552456,0.617613860173151
NA,0.934189844410866
0.673304770374671,0.669888423522934
0.664646652759984,0.770055365981534
0.307362562511116,0.0368454086128622
NA,0.383465776918456
0.930293693440035,0.529704058077186
0.54332389542833,0.236161830369383
0.587986134458333,0.375654644099995
0.0794432237744331,0.103916301159188
0.01280302926898,0.057951535563916
0.810449310811237,NA
0.93372920458205,0.482144724810496
0.213280454277992,0.570882315048948
0.595794400200248,0.944720652885735
0.502025448950008,0.35915840882808
0.0709199623670429,0.182748559396714
0.527579856337979,0.591085850493982
0.968300254549831,0.679048700258136
0.0291485777124763,0.914232403039932
0.180913847172633,0.579272791976109
0.306973906466737,0.0543261812999845
0.934762072050944,0.893886205507442
NA,0.770577607909217
0.162538173608482,0.802991164615378
0.905136974761263,0.744802558794618
0.86339683458209,0.468728423351422
0.935881515033543,0.724718369077891
0.856149401515722,0.912713397294283
